razao_social;nome_fantasia;cnpj_cpf;cep;endereco;bairro;numero;complemento;cidade;estado;inscricao_estadual;telefone;celular;contato;email;observacao;site
TSB 325 CENTENOR  EMPREENDIMENTO SA;CENTENOR EMPREENDIMENTO;04200572000175;67033-009;LOTE4 E 5 SETOR 1;INDUSTRIAL;S /N;QUADRA 3;ANANINDEUA;PA;15.154.258-9;(0091) 3250-3110;(0091) 3250-3021;WILLIAN COSTA;WILLIAM@CENTENOR.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=04.200.572/0001-75">gts</a><br>raimundo@centenor.com.br; 
TSB 326 VIA PARA CONSTRUTORA LTDA;CONSTRUTORA VIA PARA;02995881000153;67010-000;RODOVIA BR-316 -  KM 2;GUANABARA;92;KM02 SALA01;ANANINDEUA;PA;15.203.910-4;(0091)3235-2754;;ILMA;RHAC@ACAMELO.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=02.995.881/0001-53">gts</a><br>; 
TSB 327 CM CERAMICA MARITUBA IND. & COM. LTDA;CM CERAMICA DE MARITUBA;00787715000136;67200-000;RUA MANOEL DE SOUZA;PEDREIRINHA;S / N;.;MARITUBA;PA;15.188.292-4;(0091) 3235-2754;(0091) 9146-0624;ILMA;ILMA@ACAMELO.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=00.787.715/0001-36">gts</a><br>; 
TSB 328 DIRECIONAL DIAMANTE EMPREENDIMENTOS IMOBILIARIOS LTDA;DIRECIONAL DIAMANTE EMPREENDIMENTOS;09037957000187;66823-010;RODOVIA AUGUSTO MONTENEGRO;COQUEIRO;S/N;KM 8;BELÉM;PA;15.283.286-6;(0091)3256-5640;(0091)3256-1037;PLINIO / HILDA;PLINIO.SOUSA@DIRECIONAL.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=09.037.957/0001-87">gts</a><br>; 
TSB 329 EVENTUM PLANEJAMENTO LTDA.;EVENTUM PLANEJAMENTO;05152186000118;66093-005;AVENIDA 25 DE SETEMBRO;MARCO;1537;TÉRREO;BELÉM;PA;15.113.756-0;(0091) 3236-2000;(0091) 8151-3232;PAULO;LEONARDO@EVENTUMBRASIL.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=05.152.186/0001-18">gts</a><br>; 
TSB 330 A. P. SOUZA NEVES MADEIRAS;DIMEX EXPORTADORA;22979181000182;68457-200;ROD TRANSCAMETA;INDUSTRIAL;S/N;KM 06 - SERRARIA;TUCURUÍ;PA;151466947;(0094) 3787-2472;(0091) 3295-0139;ELIETE;ELIETE.DIMEX@HOTMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=22.979.181/0001-82">gts</a><br>; 
TSB 331 ASSOC. ADVENTISTA NORTE BRASILEIRA DE PREV. E ASSIST. A SAUDE;HOSPITAL ADVENTISTA;83367342000252;66630-505;AV. ALMIRANTE BARROSO;MARCO;1758;;BELÉM;PA;ISENTO;(0091) 3084-7080;(0091) 3084-7355;RAI GOMES;COMPRAS@HAB.ORG.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=83.367.342/0002-52">gts</a><br>tem contrato de manutenção de estacionamento; 
TSB 332 CERRIO CERAMICA RIO CARAPARU IND & COM LTDA(FILIAL);CERRIO CERAMICA RIO CARAPARURU(FILIAL);34877670000293;67013-000;RODOVIA BR 316;GUANABARA;94;KM 02;ANANINDEUA;PA;151737576;(0091) 3235-2754;;ILMA;ILMA@ACAMELO.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=34.877.670/0002-93">gts</a><br>; 
TSB 333 CERRIO CERAMICA RIO CARAPARU IND & COM LTDA(MATRIZ);CERRIO CERAMICA (MATRIZ);34877670000102;68790-000;ESTRADA DA PUPUNHA);ZONA RURAL;S / N;KM 16;SANTA ISABEL DO PARÁ;PA;151535159;(0091) 3235-2754;;ILMA;ILMA @ACAMELO.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=34.877.670/0001-02">gts</a><br>; 
TSB 334 B L MADEIRAS LTDA;GRUPO GREENEX B L MADEIRAS;04478504000172;68798-000;ESTRADA CAICAUA;CENTRO;S / N;KM 01 GALPAO 01;SANTA BÁRBARA DO PARÁ;PA;152185844;(0091) 9626-0445;(0091) 3776-1366;;FINANCEIRO@GREENEX.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=04.478.504/0001-72">gts</a><br>contabilidade contato kempson evangelista fone: 91-3776.1366 e-mail: contabil@greenex.com.br; 
TSB 335 GREENEX S/A, INDUSTRIA, COMERCIO E EXPORTACAO DE MADEIRAS;GREENEX MADEIRAS LTDA;07941211000178;68.798-000;ESTRADA CAICAUA;SANTA BARBARA DO PARA;S / N;KM 01;SANTA BÁRBARA DO PARÁ;PA;15-253021-5;(91)3776-1366;;KASSIA;FINANCEIRO@GREENEX.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=07.941.211/0001-78">gts</a><br>; 
TSB 336 DI ROMA IMPORTACAO E EXPORTACAO COMERCIO E REFLORESTAMENTO LTDA;DI ROMA;04728938000183;68580-000;RUA 31 DE DEZEMBRO;CENTRO;03;SALA 01;ITUPIRANGA;PA;152232567;(0094) 3333-1114;;PAULO ONOF;RECURSOSHUMANOS@DEDEA.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=04.728.938/0001-83">gts</a><br>; 
TSB 337 A DIONISIO - ME;BISCOITO DIGAO;11267217000189;67030-040;RUA  PAULO MARANHAO;CENTRO;256;BR 316;ANANINDEUA;PA;152920919;(0091) 3255-1699;(0091) 3255-4904;GLAUCIA DIONISIO;BISCOITOSDIGAO@HOTMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=11.267.217/0001-89">gts</a><br>; 
TSB 338 FAZENDA E PEDREIRA SANTA MONICA LTDA;MINERACAO SANTA MONICA;52817343000147;67200-000;RODOVIA BR 316;CENTRO;5798;KM 13;MARITUBA;PA;151095280;(0091) 3256-1077;;EDUARDO COSTA;MINERACAOSANTAMONICA@BOL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=52.817.343/0001-47">gts</a><br>; 
TSB 339 A. P. SOUZA NEVES MADEIRAS;DIMEX EXPORTADORA;22979181000263;67120-590;ESTRADA DO ARIRI;COQUEIRO;S / N;QUARENTA HORAS;ANANINDEUA;PA;151451010;(0091) 3295-0134;(0091) 3273-1717;NADIA TAGLIARINI;NADIATAGLIARINI@HOTMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=22.979.181/0002-63">gts</a><br>; 
